Tweet_ID,Date,User_ID,Tweet
99985160,10/13/15,elliottng,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme
99983079,10/03/15,GrfxGuru,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
99969597,10/27/15,Emma_L,"""And they're off... MT @FireballRun: Goodbye Williamsburg! Hope to see you again soon! #fireballrun #LoveWmbg #LoveVA http://t.co/FGZAYyP3f6"""
99948076,10/02/15,janelleshanks,Is Eating and Watching Movies....
99947574,11/19/15,Sarah_H,"""RT @CraigAnzalone: Another exciting example of bold things happening at @williamandmary! #TribePride https://t.co/8HWV1BteiZ"""
99908877,10/13/15,nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
99908439,01/08/16,Weiyue_C,@Dan_R Nice new cellphone; apple or android?  #NewTech #Fashionable
99904793,10/01/15,mobileadgirl,Safeway offering mobile coupons http://bit.ly/ONH7w
99876696,10/20/15,penlynwilson,Found a safeway. Picking up a few staples.
99873739,01/01/16,Lauren_M,@Ashley_N Slick new CPU wheels – mind if I borrow to finish #BreakingIntuition homework?
99858584,09/30/15,dcostalis,Jquery is my new best friend.
99857129,10/17/15,flywire,"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH"
99837390,12/30/15,annieblane,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.
99814219,11/12/15,Melanie_H,"""Proud to be co-hosting the Governor’s Higher Ed Presidents’ Summit on the #ServiceYear on campus today. Learn more: http://t.co/4cDJM9gF6p"""
99807190,10/07/15,NewTechBooks,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5
99806037,10/15/15,Andrea_C,"""Proud to be co-hosting the Governor’s Higher Ed Presidents’ Summit on the #ServiceYear on campus today. Learn more: http://t.co/4cDJM9gF6p"""
99786992,12/29/15,Grayce_A,"@Ashley_N Didn't know you had a new laptop, nice one direction stickers! #onedirection #Swem"
99777071,10/14/15,pdelsignore,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
99776849,09/30/15,alpheus1,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
99758713,09/30/15,artbynemo,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
99750885,10/21/15,overthrow,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al"
99749314,11/13/15,Molly_D,"""MT @KaylaKatAllThat: Don't miss 'The Blue Room' playing this weekend at @williamandmary! My review in @theflathat. http://t.co/d1TJrYBrWc"""
99748395,10/08/15,ZFilth,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.
99729318,11/30/15,Ashley_N,"""Nice! Love the shot towards the Wren. RT @NealKessler: On the beautiful @williamandmary campus today! @SGJJRCampus http://t.co/6ABAO1ccqW"""
99712447,10/16/15,itsolivia,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunka**"
99711356,10/21/15,ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a cla** or find a new friend who like to generate results with API code.
99689069,10/05/15,irishyanks,yankees won mets lost. its a good day.
99681698,10/02/15,one_eighteen,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
99669481,12/18/15,MeKensi_V,"""RT @WMNews: William &amp; Mary will be open on Friday and hold classes tomorrow on a normal schedule. https://t.co/qZVaswDfge"""
99651503,10/17/15,mikeyil,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
99647986,10/23/15,marcroberts,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
99640938,10/24/15,stormygirl223,Comcast sucks.
99635125,10/24/15,stormygirl223,Comcast sucks.
99585489,10/13/15,euthanasia86,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
99568999,10/03/15,CrownRoyal8,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
99543895,10/19/15,goncalol,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio"
99537176,10/15/15,StrategisAdv,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
99528987,12/27/15,Lauren_M,"""MT @TribeAthletics: FOOTBALL FEST IS STILL ON! Follow our route for FREE SHIRTS! More info: https://t.co/TbfHaMYTY4 http://t.co/6DawbGtOwh"""
