Tweet_ID,Date,User_ID,Tweet
8508578,10/18/15,iamtony,Just got home from chick-fil-a with the boys. d*** my internets down =( stupid time warner
50444744,10/24/15,imgsearch,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp
12037738,10/22/15,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
3115012,10/21/15,Brynn_F,"""RT @WMNews: The latest message (Oct. 1, 8:14 a.m.) from W&amp;M's Emergency Management Team - http://t.co/zisHp1hApl #hrweather #joaquin"""
39050942,10/15/15,Andrea_C,"""Proud to be co-hosting the Governor’s Higher Ed Presidents’ Summit on the #ServiceYear on campus today. Learn more: http://t.co/4cDJM9gF6p"""
30271200,10/14/15,pdelsignore,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
22153140,10/07/15,SPReviews,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
47362203,09/30/15,adamjleach,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
50126978,10/04/15,hammerauto,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
90558766,10/24/15,Drew_I,"""Bookmark this page for updates from the Emergency Management Team regarding inclement weather, Hurricane Joaquin - http://t.co/bO2kSP5lqL"""
28882563,10/03/15,JuanGir,LAKERS tonight let's go!!!!
19735045,10/10/15,jeffswhite,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
33077782,10/18/15,davidivins,Learning about lambda calculus :)
69709858,10/11/15,economywire,Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r
61188491,10/16/15,ram_zone,"GM files Bankruptcy, not a good sign..."
88561884,09/30/15,citizenofindia,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
82556419,10/13/15,Alexandra_T,"""In town tonight? Get to PBK for the Raft Debate's 'delicate balance of comedy &amp; lecture'. YOU decide who survives: https://t.co/OpIzYNp36s"""
11946219,10/10/15,gabe_rp,Time Warner's HD line up is crap.
59790495,09/30/15,ghurson,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js"
40881373,12/02/15,Andrea_C,@Ashley_N Glad u got a new #apple #mac #macintosh4ever!  About time.
75377844,10/24/15,jesusmbaez,Safari 4 is fast :) Even on my s***ty AT&amp;T tethering.
59688358,10/20/15,ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
98902668,10/12/15,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
26333026,10/04/15,xstaylor,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
11145967,10/24/15,A_TALL_BLONDE,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!
56158910,10/13/15,GoodPhoenix,am loving new malcolm gladwell book - outliers
66529853,10/09/15,m_marchesi,"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa"
30361816,10/18/15,jepaco,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"
65087208,11/23/15,Vansh_B,"""And they're off... MT @FireballRun: Goodbye Williamsburg! Hope to see you again soon! #fireballrun #LoveWmbg #LoveVA http://t.co/FGZAYyP3f6"""
3406947,01/05/16,Ben_D,@Tyler_F Still having issues with your mac?  #BreakingIntuition Let's do coffee over at #Swem
74281113,09/30/15,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
82499864,10/03/15,Ash_Craigslist,#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the f***ing UAW. ..   http://buzzup.com/4ueb
2252571,09/30/15,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
38807736,10/23/15,ldmullen,You guys see this?  Why does Time Warner have to suck so much a**?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j
83181560,10/07/15,Alexi_G,Will the Lakers kick the Nuggets a** tonight?
41756204,12/25/15,Tyler_F,"""A newer (&amp; much-loved) tradition. Have you been? MT @WMNews: Who will survive? W&amp;M's annual Raft Debate returns Oct 5 http://t.co/CsoA6tlBp1"""
37528464,10/03/15,JustGLB,Pissed at Time Warner for causin me to have slow internet problems
35523283,10/01/15,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
