StudentID,Feedback,Sex,Difficulty
1,"This is an incredible class where you learn data analysis skills and then apply to real world scenarios.  Everything learned in this class is applicable to other aspects of school and life in general.  There is no extra work besides the labs and the professors as well as the teacher assistants are extremely helpful, always willing yo answer quesitons. Overall, the best COLL 100 to take.",F,An appropriate difficulty level
2,"Coding is hard at first, but Dan and the TA's set up clear and concise directions.  While the creative sectionsa re hard, if you try your best and turn in all the deliverables then you will still do well.  The lectures are fun, so go! IN the end, the class does get better!",F,An appropriate difficulty level
3,Breaking Intuition is a fun way of interpreting Data Analysis.  You do have to be willing to code on a computer but it comes with easy to follow step-by-step instructions. It's a worthwhile COLL to take if you want to look at the world around you in a different light.,M,An appropriate difficulty level
4,This course is a combination of computer programming and the study of data.  The lectures are very interesting and give you a peek into how data affects our modern day world. Be prepared to step outside of your comfort zone with labs and be challenged when it comes to your tech-savvy knowledge.,F,An appropriate difficulty level
5,"The class is largely in the end a blend of computer science and logic being used to complete labs.  So far I don't really see the course as having many takeaways.  That is, the labs might portray certain ideas, but they are jumbled in an array of (unnecessary) handholding.  I believe it is essentially a confused philosophy course, as a person like me will not use R again.",M,An appropriate difficulty level
6,This class is very interesting and it will probably be useful for future classes/jobs.  If you are into coding / programming then take this class for sure.  If you want to learn more about using data then you should think about taking this class.  There are 2 lab work days per week and 1 lecture day. Dan's lectures are great and the labs can be a little bit challenging (for me at least because I'm not so good iwth coding) but definitely manageable.,M,An appropriate difficulty level
7,"I ahd a lot of fun playing with Data! The labs however, can sometimes become very hard and lose driection as errors appear.  Most of us are not equipped to address the errors.  However, I have had a lot of fun learning how to manipulate and use data.  The labs, however challenging, cause me to think deeply about the data.",M,An appropriate difficulty level
8,I think that Breaking Intuition is an extremely interesting course with cool professors so I highly recommend that you take it.,M,An appropriate difficulty level
9,"It's a really great course to take because the lectures (by Dan) are incredibly interesting and challenge you in ways that I was not used to.  The labs are great, challenging but always doable.  Dan really makes it about the learninga nd not about the grades, which gives the true sense of learning for yourself.  Take this class!",F,An appropriate difficulty level
10,"Breaking intuition is by far the best COLL 100 there is.  It is taught by the best teacher and the TAs are super helpful.  The course load is not too intensive and is extremely interesting, so if you do the work you will get a good grade.",F,An appropriate difficulty level
