,Men,Women,Men + Women
Total undergraduates ,"2,712 ","3,502 ",6214
"2014-2015 Total first-time, first-year freshmen who applied",5261,9291,14552
"Total first-time, first-year freshman  who were admitted",2199,2606,4805
"Total full-time, first-time, first-year freshman who enrolled",638,873,1511
Number of qualified applicants offered a placed on waiting list,,,3603
Number accepting a place on the waiting list,,,1526
Number of wait-listed students admitted,,,59
Percent in top tenth of high school graduating class,,,81%
Percent in top quarter of high school graduating class,,,96%
Percent in top half of high school graduating class,,,99%
Percent who had GPA of 3.75 and higher,,,90.06%
Percent who had GPA between 3.50 and 3.74,,,7.58%
Percent who had GPA between 3.25 and 3.49,,,1.79%
Percent who had GPA between 3.00 and 3.24,,,0.49%
Percent who had GPA between 2.50 and 2.99,,,0.08%
Percent of undergraduates who are from out of state,,,30.00%
Percent of Men/Women in Fraternities or Sororities,27%,32%,
b) Number of students who applied for need-based financial aid,,,990
c) Number of students who were determined to have financial need,,,526
d) Number of students who were awarded any financial aid,,,497
Number of students whose need was fully met ,,,132
"On average, the percentage of need that was met of students who were awarded any need-based aid. ",,,74.0%
The average financial aid package,,," $   17,011 "
Fall 2014 Students (All),,,7325
Fall 2014 Faculty (All),,,598
Student Faculty Ratio,,,12 to 1
Class Size 2 to 9 Students,,,174
Class Size 10 to 19 Students,,,327
Class Size 20 to 29 Students,,,193
Class Size 30 to 39 Students,,,192
Class Size 40 to 49 Students,,,73
Class Size 50 to 99 Students,,,64
Class Size 100+ Students,,,31
